gc.id	chrom	start	end	strand	assembly
GRCh38:chr12:+:76453955:76453955	chr12	76453955	76453955	+	:assembly/GRCh38
GRCh38:chr12:+:100452914:100452914	chr12	100452914	100452914	+	:assembly/GRCh38
GRCh38:chr12:+:113334508:113334508	chr12	113334508	113334508	+	:assembly/GRCh38
GRCh38:chr12:+:117914279:117914279	chr12	117914279	117914279	+	:assembly/GRCh38
GRCh38:chr12:+:124220082:124220082	chr12	124220082	124220082	+	:assembly/GRCh38
GRCh38:chr12:+:124846823:124846823	chr12	124846823	124846823	+	:assembly/GRCh38
GRCh38:chr13:+:21750512:21750512	chr13	21750512	21750512	+	:assembly/GRCh38
GRCh38:chr13:+:45150197:45150197	chr13	45150197	45150197	+	:assembly/GRCh38
GRCh38:chr14:+:53124634:53124634	chr14	53124634	53124634	+	:assembly/GRCh38
GRCh38:chr14:+:65543349:65543349	chr14	65543349	65543349	+	:assembly/GRCh38
GRCh38:chr14:+:71514552:71514552	chr14	71514552	71514552	+	:assembly/GRCh38
GRCh38:chr14:+:103059446:103059446	chr14	103059446	103059446	+	:assembly/GRCh38
GRCh38:chr14:+:105395734:105395734	chr14	105395734	105395734	+	:assembly/GRCh38
GRCh38:chr14:+:105615331:105615331	chr14	105615331	105615331	+	:assembly/GRCh38
GRCh38:chr15:+:25932909:25932909	chr15	25932909	25932909	+	:assembly/GRCh38
GRCh38:chr15:+:26812828:26812828	chr15	26812828	26812828	+	:assembly/GRCh38
GRCh38:chr15:+:40763569:40763569	chr15	40763569	40763569	+	:assembly/GRCh38
GRCh38:chr15:+:42149131:42149131	chr15	42149131	42149131	+	:assembly/GRCh38
GRCh38:chr15:+:42163599:42163599	chr15	42163599	42163599	+	:assembly/GRCh38
GRCh38:chr15:+:45724332:45724332	chr15	45724332	45724332	+	:assembly/GRCh38
GRCh38:chr15:+:65360149:65360149	chr15	65360149	65360149	+	:assembly/GRCh38
GRCh38:chr15:+:77317929:77317929	chr15	77317929	77317929	+	:assembly/GRCh38
GRCh38:chr16:+:27374199:27374199	chr16	27374199	27374199	+	:assembly/GRCh38
GRCh38:chr16:+:28508092:28508092	chr16	28508092	28508092	+	:assembly/GRCh38
GRCh38:chr16:+:30016741:30016741	chr16	30016741	30016741	+	:assembly/GRCh38
GRCh38:chr16:+:50326729:50326729	chr16	50326729	50326729	+	:assembly/GRCh38
GRCh38:chr16:+:57188221:57188221	chr16	57188221	57188221	+	:assembly/GRCh38
GRCh38:chr16:+:67973956:67973956	chr16	67973956	67973956	+	:assembly/GRCh38
GRCh38:chr16:+:75512781:75512781	chr16	75512781	75512781	+	:assembly/GRCh38
GRCh38:chr16:+:85743824:85743824	chr16	85743824	85743824	+	:assembly/GRCh38
GRCh38:chr16:+:88951663:88951663	chr16	88951663	88951663	+	:assembly/GRCh38
GRCh38:chr17:+:3336201:3336201	chr17	3336201	3336201	+	:assembly/GRCh38
GRCh38:chr17:+:5012906:5012906	chr17	5012906	5012906	+	:assembly/GRCh38
GRCh38:chr17:+:7578265:7578265	chr17	7578265	7578265	+	:assembly/GRCh38
GRCh38:chr17:+:11666818:11666818	chr17	11666818	11666818	+	:assembly/GRCh38
GRCh38:chr17:+:29298351:29298351	chr17	29298351	29298351	+	:assembly/GRCh38
GRCh38:chr17:+:30685592:30685592	chr17	30685592	30685592	+	:assembly/GRCh38
GRCh38:chr17:+:33521058:33521058	chr17	33521058	33521058	+	:assembly/GRCh38
GRCh38:chr17:+:37985640:37985640	chr17	37985640	37985640	+	:assembly/GRCh38
GRCh38:chr17:+:39915017:39915017	chr17	39915017	39915017	+	:assembly/GRCh38
GRCh38:chr17:+:40932828:40932828	chr17	40932828	40932828	+	:assembly/GRCh38
GRCh38:chr17:+:46703490:46703490	chr17	46703490	46703490	+	:assembly/GRCh38
GRCh38:chr17:+:60766237:60766237	chr17	60766237	60766237	+	:assembly/GRCh38
GRCh38:chr17:+:72349386:72349386	chr17	72349386	72349386	+	:assembly/GRCh38
GRCh38:chr17:+:76396876:76396876	chr17	76396876	76396876	+	:assembly/GRCh38
GRCh38:chr17:+:79660723:79660723	chr17	79660723	79660723	+	:assembly/GRCh38
GRCh38:chr17:+:79981688:79981688	chr17	79981688	79981688	+	:assembly/GRCh38
GRCh38:chr18:+:22057240:22057240	chr18	22057240	22057240	+	:assembly/GRCh38
GRCh38:chr19:+:603852:603852	chr19	603852	603852	+	:assembly/GRCh38
GRCh38:chr19:+:1112950:1112950	chr19	1112950	1112950	+	:assembly/GRCh38
GRCh38:chr19:+:1434829:1434829	chr19	1434829	1434829	+	:assembly/GRCh38
GRCh38:chr19:+:1484107:1484107	chr19	1484107	1484107	+	:assembly/GRCh38
GRCh38:chr19:+:7122909:7122909	chr19	7122909	7122909	+	:assembly/GRCh38
GRCh38:chr19:+:9577668:9577668	chr19	9577668	9577668	+	:assembly/GRCh38
GRCh38:chr19:+:10685105:10685105	chr19	10685105	10685105	+	:assembly/GRCh38
GRCh38:chr19:+:14272252:14272252	chr19	14272252	14272252	+	:assembly/GRCh38
GRCh38:chr19:+:15133888:15133888	chr19	15133888	15133888	+	:assembly/GRCh38
GRCh38:chr19:+:16344422:16344422	chr19	16344422	16344422	+	:assembly/GRCh38
GRCh38:chr19:+:20296802:20296802	chr19	20296802	20296802	+	:assembly/GRCh38
GRCh38:chr19:+:33696286:33696286	chr19	33696286	33696286	+	:assembly/GRCh38
GRCh38:chr19:+:35624607:35624607	chr19	35624607	35624607	+	:assembly/GRCh38
GRCh38:chr19:+:36105962:36105962	chr19	36105962	36105962	+	:assembly/GRCh38
GRCh38:chr19:+:36134284:36134284	chr19	36134284	36134284	+	:assembly/GRCh38
GRCh38:chr19:+:39055652:39055652	chr19	39055652	39055652	+	:assembly/GRCh38
GRCh38:chr19:+:39949879:39949879	chr19	39949879	39949879	+	:assembly/GRCh38
GRCh38:chr19:+:42891584:42891584	chr19	42891584	42891584	+	:assembly/GRCh38
GRCh38:chr19:+:44778500:44778500	chr19	44778500	44778500	+	:assembly/GRCh38
GRCh38:chr19:+:45849965:45849965	chr19	45849965	45849965	+	:assembly/GRCh38
GRCh38:chr19:+:50391718:50391718	chr19	50391718	50391718	+	:assembly/GRCh38
GRCh38:chr19:+:50713958:50713958	chr19	50713958	50713958	+	:assembly/GRCh38
GRCh38:chr19:+:51831012:51831012	chr19	51831012	51831012	+	:assembly/GRCh38
GRCh38:chr19:+:52869596:52869596	chr19	52869596	52869596	+	:assembly/GRCh38
GRCh38:chr2:+:14774609:14774609	chr2	14774609	14774609	+	:assembly/GRCh38
GRCh38:chr2:+:33246234:33246234	chr2	33246234	33246234	+	:assembly/GRCh38
GRCh38:chr2:+:73519652:73519652	chr2	73519652	73519652	+	:assembly/GRCh38
GRCh38:chr2:+:75185982:75185982	chr2	75185982	75185982	+	:assembly/GRCh38
GRCh38:chr2:+:118575234:118575234	chr2	118575234	118575234	+	:assembly/GRCh38
GRCh38:chr2:+:131522011:131522011	chr2	131522011	131522011	+	:assembly/GRCh38
GRCh38:chr2:+:141643706:141643706	chr2	141643706	141643706	+	:assembly/GRCh38
GRCh38:chr2:+:163361083:163361083	chr2	163361083	163361083	+	:assembly/GRCh38
GRCh38:chr2:+:166615902:166615902	chr2	166615902	166615902	+	:assembly/GRCh38
GRCh38:chr2:+:196759768:196759768	chr2	196759768	196759768	+	:assembly/GRCh38
GRCh38:chr2:+:212495306:212495306	chr2	212495306	212495306	+	:assembly/GRCh38
GRCh38:chr2:+:234638106:234638106	chr2	234638106	234638106	+	:assembly/GRCh38
GRCh38:chr20:+:3725593:3725593	chr20	3725593	3725593	+	:assembly/GRCh38
GRCh38:chr20:+:9546965:9546965	chr20	9546965	9546965	+	:assembly/GRCh38
GRCh38:chr20:+:18393435:18393435	chr20	18393435	18393435	+	:assembly/GRCh38
GRCh38:chr20:+:20232281:20232281	chr20	20232281	20232281	+	:assembly/GRCh38
GRCh38:chr20:+:42744639:42744639	chr20	42744639	42744639	+	:assembly/GRCh38
GRCh38:chr20:+:57429964:57429964	chr20	57429964	57429964	+	:assembly/GRCh38
GRCh38:chr22:+:20119484:20119484	chr22	20119484	20119484	+	:assembly/GRCh38
GRCh38:chr22:+:20791890:20791890	chr22	20791890	20791890	+	:assembly/GRCh38
GRCh38:chr22:+:37964115:37964115	chr22	37964115	37964115	+	:assembly/GRCh38
GRCh38:chr22:+:39262576:39262576	chr22	39262576	39262576	+	:assembly/GRCh38
GRCh38:chr3:+:44763117:44763117	chr3	44763117	44763117	+	:assembly/GRCh38
GRCh38:chr3:+:52476882:52476882	chr3	52476882	52476882	+	:assembly/GRCh38
GRCh38:chr3:+:55021736:55021736	chr3	55021736	55021736	+	:assembly/GRCh38
GRCh38:chr3:+:78710282:78710282	chr3	78710282	78710282	+	:assembly/GRCh38
GRCh38:chr3:+:129034742:129034742	chr3	129034742	129034742	+	:assembly/GRCh38
GRCh38:chr3:+:141697460:141697460	chr3	141697460	141697460	+	:assembly/GRCh38
GRCh38:chr3:+:165548165:165548165	chr3	165548165	165548165	+	:assembly/GRCh38
GRCh38:chr3:+:167217962:167217962	chr3	167217962	167217962	+	:assembly/GRCh38
GRCh38:chr3:+:182591804:182591804	chr3	182591804	182591804	+	:assembly/GRCh38
GRCh38:chr4:+:983192:983192	chr4	983192	983192	+	:assembly/GRCh38
GRCh38:chr4:+:120527864:120527864	chr4	120527864	120527864	+	:assembly/GRCh38
GRCh38:chr4:+:190989721:190989721	chr4	190989721	190989721	+	:assembly/GRCh38
GRCh38:chr5:+:14461313:14461313	chr5	14461313	14461313	+	:assembly/GRCh38
GRCh38:chr5:+:41048434:41048434	chr5	41048434	41048434	+	:assembly/GRCh38
GRCh38:chr5:+:76926156:76926156	chr5	76926156	76926156	+	:assembly/GRCh38
GRCh38:chr5:+:140774608:140774608	chr5	140774608	140774608	+	:assembly/GRCh38
GRCh38:chr5:+:141336680:141336680	chr5	141336680	141336680	+	:assembly/GRCh38
GRCh38:chr5:+:143549504:143549504	chr5	143549504	143549504	+	:assembly/GRCh38
GRCh38:chr5:+:149756161:149756161	chr5	149756161	149756161	+	:assembly/GRCh38
GRCh38:chr5:+:161302633:161302633	chr5	161302633	161302633	+	:assembly/GRCh38
GRCh38:chr5:+:170239030:170239030	chr5	170239030	170239030	+	:assembly/GRCh38
GRCh38:chr5:+:176026256:176026256	chr5	176026256	176026256	+	:assembly/GRCh38
GRCh38:chr6:+:13711284:13711284	chr6	13711284	13711284	+	:assembly/GRCh38
GRCh38:chr6:+:25861897:25861897	chr6	25861897	25861897	+	:assembly/GRCh38
GRCh38:chr6:+:31116416:31116416	chr6	31116416	31116416	+	:assembly/GRCh38
GRCh38:chr6:+:31526387:31526387	chr6	31526387	31526387	+	:assembly/GRCh38
GRCh38:chr6:+:31929749:31929749	chr6	31929749	31929749	+	:assembly/GRCh38
GRCh38:chr6:+:31976149:31976149	chr6	31976149	31976149	+	:assembly/GRCh38
GRCh38:chr6:+:32489882:32489882	chr6	32489882	32489882	+	:assembly/GRCh38
GRCh38:chr6:+:32489889:32489889	chr6	32489889	32489889	+	:assembly/GRCh38
GRCh38:chr6:+:43114362:43114362	chr6	43114362	43114362	+	:assembly/GRCh38
GRCh38:chr6:+:43153826:43153826	chr6	43153826	43153826	+	:assembly/GRCh38
GRCh38:chr6:+:100896069:100896069	chr6	100896069	100896069	+	:assembly/GRCh38
GRCh38:chr6:+:128134737:128134737	chr6	128134737	128134737	+	:assembly/GRCh38
GRCh38:chr7:+:4899715:4899715	chr7	4899715	4899715	+	:assembly/GRCh38
GRCh38:chr7:+:5415693:5415693	chr7	5415693	5415693	+	:assembly/GRCh38
GRCh38:chr7:+:21468321:21468321	chr7	21468321	21468321	+	:assembly/GRCh38
GRCh38:chr7:+:63680252:63680252	chr7	63680252	63680252	+	:assembly/GRCh38
GRCh38:chr7:+:66236923:66236923	chr7	66236923	66236923	+	:assembly/GRCh38
GRCh38:chr7:+:72413495:72413495	chr7	72413495	72413495	+	:assembly/GRCh38
GRCh38:chr7:+:82997239:82997239	chr7	82997239	82997239	+	:assembly/GRCh38
GRCh38:chr7:+:99701067:99701067	chr7	99701067	99701067	+	:assembly/GRCh38
GRCh38:chr7:+:99769407:99769407	chr7	99769407	99769407	+	:assembly/GRCh38
GRCh38:chr7:+:100421543:100421543	chr7	100421543	100421543	+	:assembly/GRCh38
GRCh38:chr7:+:105673035:105673035	chr7	105673035	105673035	+	:assembly/GRCh38
GRCh38:chr7:+:117407155:117407155	chr7	117407155	117407155	+	:assembly/GRCh38
GRCh38:chr7:+:123302783:123302783	chr7	123302783	123302783	+	:assembly/GRCh38
GRCh38:chr7:+:128494673:128494673	chr7	128494673	128494673	+	:assembly/GRCh38
GRCh38:chr7:+:137330253:137330253	chr7	137330253	137330253	+	:assembly/GRCh38
GRCh38:chr7:+:143657664:143657664	chr7	143657664	143657664	+	:assembly/GRCh38
GRCh38:chr7:+:148768794:148768794	chr7	148768794	148768794	+	:assembly/GRCh38
GRCh38:chr8:+:8560543:8560543	chr8	8560543	8560543	+	:assembly/GRCh38
GRCh38:chr8:+:38001823:38001823	chr8	38001823	38001823	+	:assembly/GRCh38
GRCh38:chr8:+:39836608:39836608	chr8	39836608	39836608	+	:assembly/GRCh38
GRCh38:chr8:+:59059129:59059129	chr8	59059129	59059129	+	:assembly/GRCh38
GRCh38:chr8:+:96037306:96037306	chr8	96037306	96037306	+	:assembly/GRCh38
GRCh38:chr8:+:107705038:107705038	chr8	107705038	107705038	+	:assembly/GRCh38
GRCh38:chr8:+:127568983:127568983	chr8	127568983	127568983	+	:assembly/GRCh38
GRCh38:chr8:+:142484263:142484263	chr8	142484263	142484263	+	:assembly/GRCh38
GRCh38:chr8:+:144681631:144681631	chr8	144681631	144681631	+	:assembly/GRCh38
GRCh38:chr8:+:146076346:146076346	chr8	146076346	146076346	+	:assembly/GRCh38
GRCh38:chr9:+:71836104:71836104	chr9	71836104	71836104	+	:assembly/GRCh38
GRCh38:chr9:+:90745118:90745118	chr9	90745118	90745118	+	:assembly/GRCh38
GRCh38:chr9:+:114820943:114820943	chr9	114820943	114820943	+	:assembly/GRCh38
GRCh38:chr9:+:119976922:119976922	chr9	119976922	119976922	+	:assembly/GRCh38
GRCh38:chr9:+:126133546:126133546	chr9	126133546	126133546	+	:assembly/GRCh38
GRCh38:chr9:+:127255340:127255340	chr9	127255340	127255340	+	:assembly/GRCh38
GRCh38:chr9:+:132382765:132382765	chr9	132382765	132382765	+	:assembly/GRCh38
GRCh38:chr9:+:139908302:139908302	chr9	139908302	139908302	+	:assembly/GRCh38
GRCh38:chr9:+:140008360:140008360	chr9	140008360	140008360	+	:assembly/GRCh38
GRCh38:chr9:+:140147361:140147361	chr9	140147361	140147361	+	:assembly/GRCh38
GRCh38:chr9:+:140147363:140147363	chr9	140147363	140147363	+	:assembly/GRCh38
GRCh38:chr9:+:140201698:140201698	chr9	140201698	140201698	+	:assembly/GRCh38
GRCh38:chrX:+:1714276:1714276	chrX	1714276	1714276	+	:assembly/GRCh38
GRCh38:chrX:+:19418704:19418704	chrX	19418704	19418704	+	:assembly/GRCh38
GRCh38:chrX:+:21675269:21675269	chrX	21675269	21675269	+	:assembly/GRCh38
GRCh38:chrX:+:50350751:50350751	chrX	50350751	50350751	+	:assembly/GRCh38
GRCh38:chrX:+:99551442:99551442	chrX	99551442	99551442	+	:assembly/GRCh38
GRCh38:chrX:+:111195487:111195487	chrX	111195487	111195487	+	:assembly/GRCh38
GRCh38:chrX:+:142717459:142717459	chrX	142717459	142717459	+	:assembly/GRCh38
GRCh38:chrX:+:153041663:153041663	chrX	153041663	153041663	+	:assembly/GRCh38
GRCh38:chrX:+:155239501:155239501	chrX	155239501	155239501	+	:assembly/GRCh38
GRCh38:chr1:+:74506967:74506967	chr1	74506967	74506967	+	:assembly/GRCh38
GRCh38:chr10:+:26856035:26856035	chr10	26856035	26856035	+	:assembly/GRCh38
GRCh38:chr10:+:91518521:91518521	chr10	91518521	91518521	+	:assembly/GRCh38
GRCh38:chr11:+:67176489:67176489	chr11	67176489	67176489	+	:assembly/GRCh38
GRCh38:chr12:+:72024708:72024708	chr12	72024708	72024708	+	:assembly/GRCh38
GRCh38:chr12:+:123414607:123414607	chr12	123414607	123414607	+	:assembly/GRCh38
GRCh38:chr14:+:95670049:95670049	chr14	95670049	95670049	+	:assembly/GRCh38
GRCh38:chr15:+:24921588:24921588	chr15	24921588	24921588	+	:assembly/GRCh38
GRCh38:chr15:+:62312715:62312715	chr15	62312715	62312715	+	:assembly/GRCh38
GRCh38:chr15:+:65497712:65497712	chr15	65497712	65497712	+	:assembly/GRCh38
GRCh38:chr17:+:17919934:17919934	chr17	17919934	17919934	+	:assembly/GRCh38
GRCh38:chr17:+:46136777:46136777	chr17	46136777	46136777	+	:assembly/GRCh38
GRCh38:chr19:+:52132769:52132769	chr19	52132769	52132769	+	:assembly/GRCh38
GRCh38:chr2:+:158406839:158406839	chr2	158406839	158406839	+	:assembly/GRCh38
GRCh38:chr2:+:192160895:192160895	chr2	192160895	192160895	+	:assembly/GRCh38
GRCh38:chr21:+:34948684:34948684	chr21	34948684	34948684	+	:assembly/GRCh38
GRCh38:chr21:+:34948686:34948686	chr21	34948686	34948686	+	:assembly/GRCh38
GRCh38:chr3:+:10108913:10108913	chr3	10108913	10108913	+	:assembly/GRCh38
GRCh38:chr3:+:38936038:38936038	chr3	38936038	38936038	+	:assembly/GRCh38
GRCh38:chr3:+:133191330:133191330	chr3	133191330	133191330	+	:assembly/GRCh38
GRCh38:chr3:+:165548427:165548427	chr3	165548427	165548427	+	:assembly/GRCh38
GRCh38:chr4:+:191003270:191003270	chr4	191003270	191003270	+	:assembly/GRCh38
GRCh38:chr5:+:140052407:140052407	chr5	140052407	140052407	+	:assembly/GRCh38
GRCh38:chr5:+:167988433:167988433	chr5	167988433	167988433	+	:assembly/GRCh38
GRCh38:chr5:+:169122942:169122942	chr5	169122942	169122942	+	:assembly/GRCh38
GRCh38:chr5:+:171639111:171639111	chr5	171639111	171639111	+	:assembly/GRCh38
GRCh38:chr6:+:31324496:31324496	chr6	31324496	31324496	+	:assembly/GRCh38
GRCh38:chr6:+:49701430:49701430	chr6	49701430	49701430	+	:assembly/GRCh38
GRCh38:chr7:+:115614304:115614304	chr7	115614304	115614304	+	:assembly/GRCh38
GRCh38:chr7:+:116412045:116412045	chr7	116412045	116412045	+	:assembly/GRCh38
GRCh38:chr9:+:977312:977312	chr9	977312	977312	+	:assembly/GRCh38
GRCh38:chrX:+:88009020:88009020	chrX	88009020	88009020	+	:assembly/GRCh38
GRCh38:chrX:+:119065974:119065974	chrX	119065974	119065974	+	:assembly/GRCh38
GRCh38:chrX:+:155233509:155233509	chrX	155233509	155233509	+	:assembly/GRCh38
GRCh38:chr1:+:3415355:3415355	chr1	3415355	3415355	+	:assembly/GRCh38
GRCh38:chr1:+:13109125:13109125	chr1	13109125	13109125	+	:assembly/GRCh38
GRCh38:chr1:+:16062982:16062982	chr1	16062982	16062982	+	:assembly/GRCh38
GRCh38:chr1:+:24151861:24151861	chr1	24151861	24151861	+	:assembly/GRCh38
GRCh38:chr1:+:32222228:32222228	chr1	32222228	32222228	+	:assembly/GRCh38
GRCh38:chr1:+:50886668:50886668	chr1	50886668	50886668	+	:assembly/GRCh38
GRCh38:chr1:+:52520753:52520753	chr1	52520753	52520753	+	:assembly/GRCh38
GRCh38:chr1:+:52819295:52819295	chr1	52819295	52819295	+	:assembly/GRCh38
GRCh38:chr1:+:101004563:101004563	chr1	101004563	101004563	+	:assembly/GRCh38
GRCh38:chr1:+:101004595:101004595	chr1	101004595	101004595	+	:assembly/GRCh38
GRCh38:chr1:+:152185879:152185879	chr1	152185879	152185879	+	:assembly/GRCh38
GRCh38:chr1:+:214171319:214171319	chr1	214171319	214171319	+	:assembly/GRCh38
GRCh38:chr10:+:76994382:76994382	chr10	76994382	76994382	+	:assembly/GRCh38
GRCh38:chr10:+:94828338:94828338	chr10	94828338	94828338	+	:assembly/GRCh38
GRCh38:chr10:+:102781991:102781991	chr10	102781991	102781991	+	:assembly/GRCh38
GRCh38:chr11:+:2436047:2436047	chr11	2436047	2436047	+	:assembly/GRCh38
GRCh38:chr11:+:6651844:6651844	chr11	6651844	6651844	+	:assembly/GRCh38
GRCh38:chr11:+:17531178:17531178	chr11	17531178	17531178	+	:assembly/GRCh38
GRCh38:chr11:+:65164490:65164490	chr11	65164490	65164490	+	:assembly/GRCh38
GRCh38:chr11:+:119058324:119058324	chr11	119058324	119058324	+	:assembly/GRCh38
GRCh38:chr11:+:119058344:119058344	chr11	119058344	119058344	+	:assembly/GRCh38
GRCh38:chr11:+:130297698:130297698	chr11	130297698	130297698	+	:assembly/GRCh38
GRCh38:chr12:+:66219162:66219162	chr12	66219162	66219162	+	:assembly/GRCh38
GRCh38:chr12:+:70087510:70087510	chr12	70087510	70087510	+	:assembly/GRCh38
GRCh38:chr12:+:89919707:89919707	chr12	89919707	89919707	+	:assembly/GRCh38
GRCh38:chr12:+:122620180:122620180	chr12	122620180	122620180	+	:assembly/GRCh38
GRCh38:chr12:+:125811177:125811177	chr12	125811177	125811177	+	:assembly/GRCh38
GRCh38:chr14:+:103569099:103569099	chr14	103569099	103569099	+	:assembly/GRCh38
GRCh38:chr14:+:105350203:105350203	chr14	105350203	105350203	+	:assembly/GRCh38
GRCh38:chr15:+:62360756:62360756	chr15	62360756	62360756	+	:assembly/GRCh38
GRCh38:chr15:+:63340866:63340866	chr15	63340866	63340866	+	:assembly/GRCh38
GRCh38:chr15:+:71184583:71184583	chr15	71184583	71184583	+	:assembly/GRCh38
